MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
86,選ぶ,会話,こちら,遣る,対応,久しぶり,会う,お互い,距離,回答,同様,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ふつう,広い,程よい,距離,保てる,関係,おとなしい,頭,職場,鹿,リ,やる,考える,タイプ,おとなしい,待つ,タイプ,おとなしい,あまり,関わる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,自分,人,自己,社交,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,いつ,私,悩み,喜び,する,何,ある,人,話,する,なる,私,良い,黒白,する,きつい,感じる,人,いる,いつ,リーダーシップ,とる,計画,する,行動,する,わり,純粋,信じる,騙す,なる,ある,そこ,良い,活躍,する,友達,おる,お誘い,ある,,,,,,,,,,,,,,,,,,,,,,
92,わがまま,許す,笑顔,私,保証,する,計画,たま,する,友達,いる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,細い,裏切る,責任,取る,浮気,する,こちら,人見知り,関わり,幅,狭い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,相手,関係,よる,思う,私,彼女,心,広い,思う,そこ,親しい,人,厳,しめ,態度,取る,ある,基本,感じ,いい,人,思う,何,集中,する,考え事,する,する,考える,他人,近寄る,人,思う,自分,他人,厳しい,人,良い,言う,ノリ,良い,悪い,言う,お調子者,人,自分,興味,持つ,行動,ある,思う,営業,仕事,する,ある,他人,話,する,上手,知る,人,打ち解ける
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,自分,相談,のる,仕事,家族,いる,多い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,頑固,自分,正しい,思う,謝る,愛想,ない,顔,でる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,あまり,優しい,自己,中心,仕事,無理,する,頑張る,自分勝手,嫌,友達,多い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,あまり,相手,悪い,言う,ある,ねたむ,いる,みんな,遊ぶ,遊ぶ,自分,やる,聞く,やる,通す,注意,する,注意,散漫,ある,周り,子供,巻き込む,自分,違う,性格,こ,話,かける,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,約束,守る,お金,無駄遣い,する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,嫌,人,怒る,愚痴,言う,忘れる,優しい,温和,基本,慎重,ミス,多い,資格,取る,友達,なる,頼る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,ない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,ゆとり,ある,ビジネスマン,する,真面目,フットワーク,軽い,営業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,責任,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,思い付き,行動,する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,怒る,柔軟,口,態度,悪い,体裁,気,する,どちら,ない,何事,他力本願,自分,行動,起こす,ない,公,場,苦手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,ない,分かる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,回答,ない,誰,親しい,なる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,やさしい,いい,好き,タイプ,性格,いい,感じ,積極,明るい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,言動,思う,言動,思う,言動,行動,思う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,優しい,寛大,優しい,おおらか,いい加減,嫌う,念,念,入れる,タイプ,控えめ,性格,どちら,言う,控えめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,夜中,帰る,文句,言う,印象,良い,喧嘩,する,一緒,いる,失言,おおい,後先,考える,リーダーシップ,取る,車,場所,好き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,家庭,責任,ない,外面,いい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,むら,ある,気,する,仕事,紹介,する,外,でる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,懐,広い,責任,ある,対応,皆,尊敬,する,物事,上手い,行く,人当たり,良い,最後,諦める,やる,責任,ある,何事,上手い,対応,する,慎重,やる,何事,前向き,対応,する,好く,要因,仲間,いる,一緒,行動,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,何,なる,言う,一緒,いる,疲れる,仕事,こなす,考える,行動,する,タイプ,回答,ない,社交,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,いとう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,会う,人,仲違い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,はさ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,やさしい,思う,いう,思う,几帳面,慎重,考える,人,普通,思う,社交,思う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,約束,する,守る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
