MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,見る,嫌う,サービス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,辞める,怒る,喧嘩,する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,ある,許す,ある,侵す,思う,ある,果たす,する,なくなる,付き合う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,思う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,見る,ある,仕事,動く,仕事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,歴任,する,上げる,思う,回避,考慮,する,会議,発言,する,アピール,する,避ける,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,言う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,回答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,心がける,接する,約束,守る,考える,する,後悔,する,ある,やる,諦める,挑戦,する,終わる,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,知る,結婚,する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,とらわれる,違う,仕事,返戻,ある,感じる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,言う,許す,見る,依頼,する,やる,やる,失敗,する,考える,選定,する,ある,計画,立てる,やる,いる,尊敬,する,,,,,,,,,,,,,,,,,,,,,,
146,おこる,威圧,ある,怖がる,与える,仕事,こなす,考える,行動,する,やる,決める,行く,出かける,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,回答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,傷つく,当たる,当たる,疲れる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,する,ある,思う,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,話し掛ける,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,容認,出来る,出る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,する,許せる,ある,任せる,仕事,持つ,決める,悩む,なれる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,話す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,似る,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,考える,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,逃げる,よる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,許せる,任せる,買い物,調べる,考える,購入,する,言う,我慢,する,嫌う,空く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
