MID,Adj_self,Verb_self,Noun_self,Adj_target,Verb_target,Noun_target
127,"['しつこい', 'くどい']",[],[],"['くどい', 'しつこい']",[],[]
131,['苦手'],[],['小心'],[],[],[]
132,"['普通', '普通', '新しい', '好き', 'ポジティブ']","['思う', '思う', '与える', '成し遂げる', 'たまる', '買う', '挑戦', 'する', 'とれる', 'なれる']","['お金', '物', '誰']","['普通', '良い', '新しい', '苦手']","['思う', '頼む', '断る', '入る', '話す']","['人当たり', '環境', '人前']"
134,[],"['怒る', 'ある', 'かぶる', '嫌う', '嫌う', '拘る', 'こだわる']","['猫', '人', '半々']","['いい', '広い', 'よい', '狭い', 'いい', '念入り']","['わかる', '調べる', '言う', 'いる']","['私', '感じ', '人', '他人', '何', '自分', '人', '友達']"
135,[],[],[],['多い'],[],['友達']
141,"['やさしい', '迷惑', 'ない', '好き']","['怒る', '振る舞う', '仕事', 'かける', '追求', 'する', '行動']","['誰', '基本', '最後', '誰', 'どちら']","['慎重', '狭い', 'いい', '多い']","['する', '仕事', 'みる', '参戦', 'する']","['愛想', '女性', '基本', 'ライブ', '聞き役']"
142,[],[],[],['無い'],[],[]
143,['寛容'],"['かんがえる', 'かんがえる']",[],"['やさしい', '色々']","['ニコニコ', 'する', '考える', 'する', 'する']",[]
144,['ない'],['回答'],[],[],"['怒る', 'なる']",['誰']
145,"['不思議', 'ない']","['尋ねる', '衝動', 'する', '譲る', '営業', 'する']","['人', '道', '場面', '人']",[],"['接客', 'する']",[]
149,[],['なる'],"['心', '広子', '人見知り']",[],[],[]
151,[],[],[],[],[],['かし']
153,"['正しい', '下手']","['許す', 'できる', '感じる', '接す', '叩く', '渡る', '関わる', 'する']","['他者', '礼儀', '人', '責任', '石橋', 'タイプ', '他人', '人']","['ない', '必要', 'いい']","['思う', '経営', 'する', 'ある', '付く', '離れる', '接客', '仕事']","['私', '関心', '最低限', '付き合い', '節度', '感じ', '人当たり']"
154,"['無い', '寛容', '様々', '慎重']","['失敗', 'する', 'ある', '変わる', '重ねる', '仕事', '相当', '持つ', '付き合う', '好む']","['モラル', '人', '人', '時', '態度', '年齢', '責任', '基本', '消極', '考え方', '人間', 'あまり']","['ない', '広い', '悪い', 'ない', '多い', '良い']","['ある', '思う', 'やり遂げる', '持つ', '言える', '評価', 'なる', '言える', '回答', 'なる']","['私', 'こころ', '感じ', '別', '責任', 'これ', 'どちら', '自己', 'どちら', '友人', '人当たり']"
156,[],"['回答', 'なす']",[],[],[],[]
161,"['無い', '普通']",['許せる'],[],['優しい'],"['ある', '話し合い', '取る', '経営', '経営']",['何']
166,"['まじめ', '誠実', '慎重', '積極', '控えめ', 'おとなしい', 'ない', 'ない']","['いえる', '思う', '仕事', '生活', '期す', '思う', 'いう', '自認', 'する', '言う', '思う']","['どちら', '大抵', '人', '人間', '基本', 'タイプ', 'どちら', 'タイプ', '人間', '社交', '人間', '社交']","['よい', '強い', '軽率', 'ない', 'ない', 'よい']","['思う', '思う']","['大', '性格', '人当たり', '責任', 'タイプ', 'どちら', '人当たり']"
167,"['気楽', '望ましい', 'ない']","['なる', '仕事', '溜まる', '生活', 'あわせる', 'おく']","['責任', 'ストレス', '周り', '別', '誰']",[],"['考える', '疲れる', '経験', '不足']","['思いつき', '物事', '社会']"
169,"['嫌', '多い', '多い', 'めんどい', 'いい']","['ある', 'なる', 'ある', 'よる', '頼れる', 'いる', '任せる', 'する', '思う', '立ち止まる', '考える', 'いう', 'する', 'やる', 'やる', '見かける', 'かける', '見つかる', 'する']","['一つ', '欠点', '人', '人', '何', '消極', '電車', '知り合い', '声']","['失礼', '広い', '鈍感', '穏やか', 'ない', '古い']","['言う', '受け止める', 'いう', 'しれる', '乗る', 'ある', '思える', '連絡', '取る', '会う', 'する']","['心', '人', '人', 'だて', 'どちら', '言動', '友達', '自分']"
171,[],"['びっくり', 'する', '許せる', '許せる', '共存', 'する', 'する', '分かつ', 'かれる', '構う', 'アタック', 'する']","['部分', '部分', '半々', '誰']",['良い'],"['許す', '感じる']","['方面', '割', '対外']"
172,[],"['よる', '話', 'づく', 'やる', 'する', '考える', '行動', 'する', '話せる']","['相手', '事', '最後', '何', '誰']",['頼り'],"['怒る', 'よる', 'なる', '考える', '行動', 'する', '行動', 'ある']","['あまり', '相手', '立場', '何事']"
173,"['良い', '好き']","['変わる', '怒る', '言う', 'する', 'ある', '買い物', '考える', '買う', '思う', '言う', '伝える', 'する']",['人'],[],"['する', '許す', '接客', '向く', '困る', 'する', '言える', '変わる', '誘う', 'する']","['何', '人', 'どちら', '自分', '人']"
175,[],[],[],[],[],[]
176,"['いい', '積極']","['許容', 'する', 'おもう', '決める', 'はやる', '心配', 'なる', '接する', 'いえる']","['何', 'ひと', '何', 'どちら']",[],"['話', '聞く', 'いう', '考える', 'なる']","['物事', '誰']"
178,[],[],[],[],"['あう', 'かく']",[]
179,"['細かい', '好き', 'ない', '好き', 'ない']","['くる', 'する', '果たす', 'する', 'ある']","['あまり', '人間', '責任', '好奇', '人付き合い']","['寛大', '普通', '多い']","['約束', '破る', '思う', '行動', 'する']","['人見知り', '自分', '友人']"
181,['ない'],[],['いとう'],[],[],[]
182,[],[],[],['ない'],[],[]
192,"['寛容', '多い', '慎重', '積極', '盛ん']","['合う', '評価', 'する', '仕事', '含める', '意識', 'する', '仕事', 'ふるまう', '意識', '持つ', '交流', '行く', '含める', '交流']","['気', '仲間', '筆頭', 'プライベート', '中心', '趣味', '友人', '知人']","['寛容', '軽率', 'ない', '積極', 'ない']",['ある'],"['他', '評判', '何事', '責任', '何事', '社交']"
193,"['若い', '寛容', 'いろいろ', '多い']","['受ける', '仕事', 'やり遂げる', 'ある', '狙う', 'する']","['動物', '子供', '女性', '異性', '面', '女性', '女性', '友達']","['大丈夫', '清楚', '清楚', '真面目']","['遊ぶ', 'いる', 'する']","['お互い様', '見た目', '美人', '子供', '人妻', '僕', '社交']"
195,[],[],[],['無い'],"['なる', '確立', 'する', '負担', '付き合う', 'する']","['年代', '人生']"
196,['ない'],['会う'],"['短気', '責任', '人', 'おっくう']",[],[],['短気']
198,"['固い', '真面目', '慎重', '慎重']","['する', '行く']","['初対面', '人', 'カード', 'どこ', '平気']","['滅多', 'ない', 'いい', '真面目', 'ない', 'いい']","['怒る', 'ニコニコ', 'する', '思う', '思う']","['感じ', 'フラット', '感じ', '人', 'どちら', '人当たり']"
200,"['広い', '積極', '激しい']","['やる', 'やる', '言える']","['どっち', '僧', '佐賀']","['いい', '大人しい', 'ない']",[],"['ひと', '世間', '自信']"
202,"['無能', 'ない', 'ない']","['考える', '優遇', 'する', '意識', 'する', '失敗', '恐れる']","['自分', 'ケースバイケース', '観点', '他人', '興味']","['いけ好かない', '忙しい', 'よい']","['仕事', '自慢', '取り入る']","['他人', '外面']"
205,"['いい', 'いい', '多い', '強い']","['怒る', '許す', '思いだす', '許す', '思う', '好く', '言う', '警戒', '感じる', '質問', 'する', '話せる']","['人', '思い出', '動物', '子供', '初対面', '人', '印象', '相手', '言葉', '違和感', '心境', '誰']","['完璧', 'ネガティブ', 'ネガティブ', '多い']","['受け入れる', '頼む', 'やり遂げる', 'ある', 'かかる', 'ある', '話す']","['世間', '自分', '火の粉', '性格', '引っ込み思案', '性格', '俺', '言葉']"
206,[],"['話す', '出来る']","['笑顔', '誰']","['穏やか', '慎重']",[],['愛想']
214,"['好き', 'ない']","['開示', 'する', '入力', 'しなう', '付き合う', '来る', '一緒', '住む', 'なる']","['自分', '中心', 'タイプ', '笑顔', '魅力', '収入', '個人', '情報', '日本', 'インドア', 'タイプ']","['素敵', 'ない', '慎重']","['いる', '入力', '付き合う', '来る']","['自分', '中心', '笑顔', '収入', '個人', '情報', '日本', 'インドア', 'タイプ']"
217,[],[],[],"['ない', 'ない']",[],"['可', '不可']"
221,"['孤独', '好き', '孤独', '好き', '大事', '孤独', '良い']",['やる'],"['笑顔', '自分', '知り合い', '独り身']","['普通', '普通', '苦手']",['喧嘩'],"['兄弟', '人見知り', '人付き合い']"
