1,2,3
"['普通', '普通', '苦手']",['喧嘩'],"['兄弟', '人見知り', '人付き合い']"
"['強い', '深い']","['理解', 'する', '受け入れる', 'なれる', '決める', 'やる', '通す', 'ある', '掘り下げる', '考える', 'できる', '行動', 'する', 'なれる']","['自分', '誰', 'タイプ', '最後', '芯', '物事', '誰']"
[],"['比べる', '比べる', '比べる', '比べる', '比べる']","['私', '私', '私', '私', '私']"
"['ない', '悪い', 'いい', 'おとなしい']","['失敗', 'する', 'する', '怒る', 'する', 'ある', '旅行', '行く', 'する', '飲む', '飲む', '思う', '喋る', '聞く', '答える']","['自分', '何', '言い方', '感じ', '家族', '車', '次', '気', '酒', '晩', '基本', '受け身', '自分', '親', '私', '親', '自分', '何']"
"['好き', 'いろいろ', 'いい']","['世話', 'ひく', 'する', '対応', 'する', 'わる', '気づく', 'やる']","['風邪', 'マスク', '体', '労', '人付き合い']"
"['ない', 'いい', 'ない', 'ない', 'アクティブ']",['いう'],"['やつ', '不可']"
['明るい'],['打ち解ける'],"['誰', '性格']"
"['おしい', 'ない', 'ない', 'ない', '無理']","['切れる', 'うつ', '見下す']","['汚点', 'なし']"
[],"['回答', 'する']",[]
"['寛容', '良い']",['する'],"['私', '人当たり']"
[],[],[]
"['面白い', '大好き', 'うまい']","['許す', '料理']","['嘘', '美人', '近所', '付き合い']"
[],[],[]
"['良い', '軽率', 'ない', 'ない']","['躊躇', 'する', '困る', '貸す', '援助', 'する', 'ある', '経営', 'ある', 'ある', '全う', 'する', '見る', '考える', '行動', 'する', '経営', '取り引き', '従業', 'とる']","['人', '手', '金銭', '対外', '人当たり', '夫', '親', '責任', '立場', '立場', '振る舞い', 'ベスト', '立場', 'コミュニケーション', 'プライベート', '社交', 'タイプ']"
['多い'],"['笑う', '立つ', '果たす']","['人前', '役割', '友達']"
"['弱い', '完全', 'かわいらしい', '生', '危ない', '元気']","['ある', 'オープン', 'できる', 'お話し', 'ある', '活動', '果たす', 'なる', 'ある', 'する', 'しゃべる']","['自分', '自身', '部分', '心', '真面目', '思いやり', '役割', '誰', '子', '年齢', '性別', '誰', '子']"
"['ない', 'かわいい', '心強い', 'ない']",['仕事'],"['理由', '理由']"
"['明るい', '元気']",[],[]
[],[],[]
"['親切', '不調']","['ドライブ', 'する', '止まる', 'いる', '止める', '話しかける', '見る', '旅行', '連れる', 'ドライブ', '行く', 'ある', '壊れる', '送る', '帰国', 'できる', '準備', 'する', '出会う', '話しかける', '出会う', '話しかける']","['誰', '車', '人', '車', '具合', '海外', '私', '何', '車', '駅', '私', 'クレタ', '旅先', '人', '旅先', '人']"
[],"['する', '喋る']",['揚げ足']
"['軽い', '多い', 'ない', 'おおい', '積極', '多い']","['生活', 'つつく', 'する', '関係', 'いう', '行動']","['ずれ', '人当たり', '友人', '自分', '自分', '場当たり', '手伝い', '友人']"
"['広い', '明るい', '前向き', '確実', '積極', '慎重', '早い', '冷静']","['ある', 'ある']","['海', '動き', '無難']"
[],['頑張る'],[]
"['柔軟', '高い']","['一緒', 'たたく', '渡る', '計画', '組む', '行動', 'する', '変更', '対応', '来る', '尊敬', 'できる']","['誰', '態度', '石橋', 'タイプ', 'プラン', 'コミュニケーション', '能力', '臨機応変']"
[],[],[]
['必要'],"['かける', '干渉', 'する', '求める', '対応', 'する', 'する', '気遣う', '発言', 'する', '思考', 'いる']","['気', '相手', 'プラス']"
['慎重'],['思う'],[]
['素晴らしい'],"['落ちる', '連絡', 'くれる', '乗る', '遣る']","['最高', '気分', 'みんな', 'なかよし']"
[],[],[]
['夢中'],"['話せる', '負う', 'する', 'やる', 'やってくる', '負う', 'する', 'のむ', 'なれる', '見える']","['他者', '本音', 'リスク', '生き方', 'リスク', '生き方', '誰']"
[],"['ある', 'ある', 'ある', 'ある', 'ある']",[]
"['広い', '普通', 'まじめ']","['受け止める', '受け止める', '位置', 'いる', '思う', '一緒']","['範囲', '人', '受け手', '立ち', '自分', '人見知り']"
['長い'],[],['付き合い']
[],[],[]
[],[],[]
"['いかつい', '悪い', '楽しい', '軽率', '新しい']","['喧嘩', '落ち着く', '話す', '会話', 'できる', '仕事', '全う', 'する', '仕事', '頑張る', 'ある', 'ある', 'やる', 'いう', 'ある', '全う', 'する', 'ある']","['わり', '見た目', '中身', '感じ', '面', '自分', '興味', '社交']"
[],[],[]
"['優しい', '力強い', '面倒', '好き']","['落ち込む', 'ある', '見る', '考える', '行動', '移す', 'できる', '行動', 'ある', 'なれる', '行動']","['たま', '気分', '人', '誰']"
"['神経質', 'ない']","['許す', '対応', 'する', '依頼', 'する', '守る', '入れる', '行動', 'ある', '対応', 'する']","['何', 'いつ', '笑顔', '念', 'いつ', 'どこ', '笑顔']"
[],"['ある', '考える', '発言', 'する']","['業務', '責任', '先']"
"['穏やか', 'にこやか', '広い']","['話す', '話す', 'する', '共通', '噂', 'する', '取れる']","['人', '知り合い', '誰', 'コミュニケーション', '人', '交友', '範囲']"
"['積極', '慎重', '積極', '広い', 'ない', '良い', '積極']","['こなす', '全う', 'する', 'やる', '心配', 'する', 'やる', 'ある', 'ある', 'とる']","['家事', '母', '任務', '母', '家事', '何', '消極', '物事', '差', 'そこ', '人脈', '仲', '人', 'コミュニケーション', '感じ']"
['軽い'],"['思う', 'いく', '話す']","['多分', '初対面']"
['うまい'],"['受け入れる', '好く', '慕う', '引き受ける', 'やりこなす', '考える', '遂行', 'する', 'やる', '決める', 'すすむ', '出る', '付き合える']","['大抵', '誰', '最後', '物事', '自分', '誰']"
[],[],[]
"['嫌', '優しい']","['仕事', 'する', '任す', 'する', 'する', 'ある', 'はやる', '遊ぶ']","['最後', '興味']"
[],[],[]
[],[],[]
['多い'],['いる'],['友人']
"['不快', '多様']","['批判', 'する', 'する', '負う', '言える', '行動', '付き合う']","['他人', '他人', '思い', '事', '責任', 'どちら', '割', '人']"
"['ない', '積極', '積極']","['叶える', '動く', 'もたれる', '断る', '話しかける', '知る', '話しかける', 'なれる']","['願い', '人', '印象', '人', '頼み', '基本', '人', '人']"
"['凄い', '丁寧', '多い', '強い']","['生きる', 'する', '看護', '思う']","['友人', '職業', '同志']"
['優しい'],"['仕事', 'ある', '行く']","['周り', '責任', '自分']"
['やさしい'],[],"['自分', '二の次']"
"['不明', '嫌']","['一緒', 'いる', 'する', '仕事', 'する']","['思い', '中間', '中間']"
"['厳しい', '厳しい', '強い', 'ない', '大切']","['忍耐', 'ある', '尊敬', 'する', '耐える', '育て上げる', '逆らう', '意見', '通す', 'あたためる', 'する']","['母', '父', '父', '両親', '言動', '私', '妹', '父', '自分', '旧交', '近所', '付き合い']"
"['寛大', 'ない']","['ある', 'できる', 'する']","['デリカシー', '損']"
[],"['わかる', '感じる', 'かんじる', 'する']","['両方', 'どちら', '人見知り']"
