MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
76,細かい,くる,する,外面,いい,長男,人嫌い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,どちら,いう,狭い,思う,嫌い,人,嫌う,責任,ない,興味,ある,軽率,しれる,人間,関係,新潮,人間,嫌い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,愛想,いい,感じ,笑顔,受け答え,出来る,何事,失敗,恐れる,躊躇,する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,事柄,変わる,なる,人,不快,印象,与える,気,つける,必要,責任,もつ,なくなる,事柄,変わる,人,いる,疲れる,なる,人,いる,疲れる,なる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,問,同様,どちら,面,持つ,認識,する,他人,評価,する,自分,分かる,仕事,限る,真剣,取り組む,ある,手,抜く,ある,慎重,冷静,物事,見る,行動,する,稀,考える,行動,する,ある,家,ビリ,過ごす,好き,飲む,基本,行く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,解答,ない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,尊敬,する,人間,ない,こちら,積極,いく,こちら,いく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,思う,受ける,思う,過剰,思える,ある,何事,ケースバイケース,どちら,対応,する,自分,言う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,自分,広い,理解,ある,思う,自分,人当たり,いい,思う,仕事,やる,考える,行動,する,仕事,積極,打ち解ける,性格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,狭い,人,囲む,苦労,する,私,なん,受け止める,思う,なん,言う,否定,する,表向き,感じ,悪い,思う,真面目,割,そこ,苦しむ,タイプ,新しい,抵抗,ない,する,ひっかかる,ある,怖がる,新しい,すき,チャレンジ,好き,広い,浅い,誰,分ける,隔てる,接する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,自分勝手,愛想,よい,面倒,逃げ,石橋,叩く,石橋,叩く,引き,こもる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,厳しい,愛想,笑い,する,最後,やる,通す,厳しい,する,する,人見知り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,私,他人,怒り,感じる,ない,それ,割,当たり前,思う,彼氏,仏,言う,確か,思う,他人,関わる,感じ,いい,人,演じる,他人,そこ,貴方,責任,背負う,いい,言う,自分,やる,関わる,責任,感じる,良い,ある,何事,勢い,始める,行動,する,ない,十分,調査,する,検討,する,計画,する,行動,移す,物事,よる,自分,納得,する,やる,思う,行動,する,何,する,心,開く,人,上手い,話せる,関わる,する,知る,人,話す,すごい,緊張,する,怖い,思う,ある
96,嫌味,言う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,心,持つ,どちら,なる,わかる,仕事,間違える,注力,する,失敗,恐れる,思う,行動,移せる,人見知り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,相手,返事,もらえる,する,愛想,いい,思う,思い当たる,エピソード,ない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,あまり,怒る,人当たり,良い,あきらめる,深い,考える,人付き合い,する,人付き合い,嫌う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,何,自分,違う,言う,受け止める,ある,にこにこ,する,自分,関係,ない,知らん顔,する,どこ,外出,する,何,考える,行動,する,人,いる,ぶん,意見,言える,みんな,愛嬌,振り回せる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,相手,許せる,ある,仕事,責任,持つ,思う,お金,無駄遣い,する,リーダー,管理,なる,誰,話す,ない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,優しい,顔,周り,言う,責任,ない,する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,真面目,引っ込み思案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,かん,ない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,狭い,印象,見る,フレンドリー,責任,嫌う,軽い,ない,ポジティブ,サービス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,普通,人,番組,辞める,めった,怒る,番組,喧嘩,する,積極,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,ある,許す,気持ち,ある,犯罪,侵す,悪い,思う,責任,ある,果たす,面倒,適当,する,何事,気力,なくなる,人,付き合う,億劫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,自分,自身,自力,基本,思う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,良い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,嫌,見る,気持ち,よい,心,汚い,部分,ある,仕事,長女,かも,自分,動く,仕事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,リーダー,歴任,する,それなり,成果,上げる,思う,リスク,回避,考慮,する,会議,発言,する,自身,アピール,する,嫌い,人付き合い,避ける,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,穏やか,寛大,性格,穏やか,人柄,優しい,何事,慎重,大人しい,控えめ,どちら,言う,ひとり,すき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
